name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft,Roof_Sq_M,Annual_kWh,Annual_MWh,Daily_kWh,Households_Powered,Households_1mi,Households_3mi,EV_Stations_1mi,EV_Stations_3mi,Priority_Score,Annual_Class_BP,Household_Class_BP,EV_Class_BP,Carbon_Reduction_kgCO2,Carbon_Reduction_tonsCO2,Estimated_System_kW,Estimated_System_MW,Estimated_Solar_Cost_USD,Estimated_Solar_Cost_Million_USD
Warehouse on Regent Boulevard,warehouse,"Dallas County, Texas",Regent Boulevard,32.94139371034233,-97.03071212,401234.7920296817,260802.61,24228.562469,7782214.0,7782.21,21321.1,591.7,234,11677,0,30,0.0516,High,Low,Low,2607042.0,2607.04,4845.71,4.846,9691420.0,9.691
Warehouse on North Stemmons Freeway,warehouse,"Dallas County, Texas",North Stemmons Freeway,32.918688363816095,-96.90151191,110428.03828759796,71778.22,6668.196637999999,2141825.0,2141.82,5868.0,162.9,2071,31208,6,20,0.0441,Medium,Low,Medium,717511.0,717.51,1333.64,1.334,2667280.0,2.667
Warehouse on North Stemmons Freeway,warehouse,"Dallas County, Texas",North Stemmons Freeway,32.91710435355322,-96.90199703,362616.4867211335,235700.72,21896.596888,7033187.0,7033.19,19269.0,534.8,1980,30790,6,20,0.073,High,Low,Medium,2356118.0,2356.12,4379.32,4.379,8758640.0,8.759
Warehouse on South Belt Line Road,warehouse,"Dallas County, Texas",South Belt Line Road,32.93231,-96.996172,169793.7535687628,110365.94,10252.995826,3293262.0,3293.26,9022.6,250.4,1520,24259,5,15,0.043,High,Low,Medium,1103243.0,1103.24,2050.6,2.051,4101200.0,4.101
Warehouse on Lakeshore Drive,warehouse,"Dallas County, Texas",Lakeshore Drive,32.93414550000001,-96.996225,211234.23948013643,137302.26,12755.379954,4097028.0,4097.03,11224.7,311.5,1558,24586,5,16,0.0485,High,Low,Medium,1372504.0,1372.5,2551.08,2.551,5102160.0,5.102
IBM,commercial,"Dallas County, Texas",Airline Drive,32.942749286781925,-96.99485925,160420.0234397297,104273.02,9686.963558,3111453.0,3111.45,8524.5,236.6,1902,26539,1,14,0.0476,Medium,Low,Low,1042337.0,1042.34,1937.39,1.937,3874780.0,3.875
Industrial on Executive Drive,industrial,"Dallas County, Texas",Executive Drive,32.94181325,-96.9995791,291154.0945377514,189250.16,17581.339864,5647126.0,5647.13,15471.6,429.4,1751,23795,0,14,0.061,High,Low,Low,1891787.0,1891.79,3516.27,3.516,7032540.0,7.033
Warehouse on Dividend Drive,warehouse,"Dallas County, Texas",Dividend Drive,32.930845002545574,-96.99550687,275992.6063970657,179395.19,16665.813151,5353059.0,5353.06,14665.9,407.0,1500,24350,5,18,0.0554,High,Low,Medium,1793275.0,1793.28,3333.16,3.333,6666320.0,6.666
Warehouse on Dividend Drive,warehouse,"Dallas County, Texas",Dividend Drive,32.93097625062075,-97.00041428,763753.0871438929,496439.51,46119.230479,14813497.0,14813.5,40584.9,1126.3,1436,20807,5,15,0.1129,High,Low,Medium,4962521.0,4962.52,9223.85,9.224,18447700.0,18.448
Warehouse on Dividend Drive,warehouse,"Dallas County, Texas",Dividend Drive,32.93343225,-97.00124375,1089492.294629786,708169.99,65788.992071,21131424.0,21131.42,57894.3,1606.7,1470,20720,5,16,0.1525,High,Low,Medium,7079027.0,7079.03,13157.8,13.158,26315600.0,26.316
Office on Lyndon B Johnson Freeway,office,"Dallas County, Texas",Lyndon B Johnson Freeway,32.93804130875979,-97.012791,56787.583786627976,36911.93,3429.118297,1101433.0,1101.43,3017.6,83.7,1129,14252,2,18,0.0236,Medium,Low,Low,368980.0,368.98,685.82,0.686,1371640.0,1.372
Office on Statesman Drive,office,"Dallas County, Texas",Statesman Drive,32.93581301249637,-97.01437957,50980.95362800901,33137.62,3078.484898,988809.0,988.81,2709.1,75.2,1003,12696,2,27,0.0211,Medium,Low,Low,331251.0,331.25,615.7,0.616,1231400.0,1.231
Office on Statesman Drive,office,"Dallas County, Texas",Statesman Drive,32.93453502238286,-97.01243922,50719.43699,32967.63,3062.692827,983737.0,983.74,2695.2,74.8,1079,13268,4,22,0.0222,Medium,Low,Medium,329552.0,329.55,612.54,0.613,1225080.0,1.225
Office on Regent Boulevard,office,"Dallas County, Texas",Regent Boulevard,32.93353294999999,-97.0123673,29270.41362312563,19025.77,1767.494033,567719.0,567.72,1555.4,43.2,1062,12956,4,22,0.0193,Low,Low,Medium,190186.0,190.19,353.5,0.354,707000.0,0.707
Office on Regent Boulevard,office,"Dallas County, Texas",Regent Boulevard,32.925867155061724,-97.00310946,89592.25783771824,58234.97,5410.028713,1737701.0,1737.7,4760.8,132.1,1302,17431,8,21,0.0301,Medium,Low,Medium,582130.0,582.13,1082.01,1.082,2164020.0,2.164
Office on Regent Boulevard,office,"Dallas County, Texas",Regent Boulevard,32.922925357328126,-97.00155153,77391.82358,50304.69,4673.305701,1501066.0,1501.07,4112.5,114.1,1284,17954,8,23,0.0284,Medium,Low,Medium,502857.0,502.86,934.66,0.935,1869320.0,1.869
Office on Horizon Way,office,"Dallas County, Texas",Horizon Way,32.92257912010941,-97.00045669,73680.04366313187,47892.03,4449.169586999999,1429073.0,1429.07,3915.3,108.7,1311,18686,8,25,0.0284,Medium,Low,Medium,478739.0,478.74,889.83,0.89,1779660.0,1.78
Office on Regent Boulevard,office,"Dallas County, Texas",Regent Boulevard,32.92398566946021,-97.00146734,72124.16020047762,46880.7,4355.21703,1398896.0,1398.9,3832.6,106.4,1293,18269,8,23,0.0279,Medium,Low,Medium,468630.0,468.63,871.04,0.871,1742080.0,1.742
Commercial on South Lamar Street,commercial,"Dallas County, Texas",South Lamar Street,32.77534278527348,-96.80337519,24303.05413927813,15796.99,1467.5403709999998,471374.0,471.37,1291.4,35.8,10323,80545,57,123,0.1568,Low,Medium,High,157910.0,157.91,293.51,0.294,587020.0,0.587
Commercial on Raiford Road,commercial,"Dallas County, Texas",Raiford Road,32.98716961559642,-96.90733622,47948.22559,31166.35,2895.353915,929988.0,929.99,2547.9,70.7,4033,43724,1,11,0.0659,Medium,Medium,Low,311546.0,311.55,579.07,0.579,1158140.0,1.158
Retail on East Trinity Mills Road,retail,"Dallas County, Texas",East Trinity Mills Road,32.98556672014421,-96.90791214,22930.459606228324,14904.8,1384.65592,444751.0,444.75,1218.5,33.8,3921,42980,5,11,0.0612,Low,Medium,Medium,148992.0,148.99,276.93,0.277,553860.0,0.554
Office on Dallas Parkway,office,"Dallas County, Texas",Dallas Parkway,32.94627130723373,-96.824212,36978.86258756563,24036.26,2232.968554,717229.0,717.23,1965.0,54.5,13722,60606,15,42,0.209,Low,High,High,240272.0,240.27,446.59,0.447,893180.0,0.893
Office on South Belt Line Road,office,"Dallas County, Texas",South Belt Line Road,32.92881552633582,-96.99488727,63460.57494078072,41249.37,3832.066473,1230860.0,1230.86,3372.2,93.6,1466,24206,5,19,0.0295,Medium,Low,Medium,412338.0,412.34,766.41,0.766,1532820.0,1.533
Oakridge Plaza,retail,"Dallas County, Texas",North Jupiter Road,32.94611421787223,-96.68076726,49416.20569087356,32120.53,2983.997237,958460.0,958.46,2625.9,72.9,6418,48499,0,14,0.1016,Medium,Medium,Low,321084.0,321.08,596.8,0.597,1193600.0,1.194
Cali Saigon Mall,retail,"Dallas County, Texas",North Jupiter Road,32.94726668218306,-96.68073422,101522.18077622044,65989.42,6130.417117999999,1969090.0,1969.09,5394.8,149.7,6372,48464,0,14,0.1071,Medium,Medium,Low,659645.0,659.64,1226.08,1.226,2452160.0,2.452
9797 Rombauer,office,"Dallas County, Texas",Cypress Waters Trail,32.94121022,-96.98503757,64398.012466695145,41858.71,3888.674159,1249042.0,1249.04,3422.0,95.0,1912,29719,1,15,0.0362,Medium,Low,Low,418429.0,418.43,777.73,0.778,1555460.0,1.555
Commercial on McKinney Avenue,commercial,"Dallas County, Texas",McKinney Avenue,32.79056721684807,-96.80294649,26832.46419574472,17441.1,1620.2781899999998,520433.0,520.43,1425.8,39.6,22178,94090,79,128,0.3338,Low,High,High,174345.0,174.34,324.06,0.324,648120.0,0.648
McKinney & Olive,office,"Dallas County, Texas",McKinney Avenue,32.79118124082374,-96.80381537,27987.82468063902,18192.09,1690.045161,542843.0,542.84,1487.2,41.3,21971,94201,79,128,0.3308,Low,High,High,181852.0,181.85,338.01,0.338,676020.0,0.676
Office on North Pearl Street,office,"Dallas County, Texas",North Pearl Street,32.790874471930486,-96.80127247,31755.29695609348,20640.94,1917.543326,615915.0,615.92,1687.4,46.8,23138,94534,79,127,0.3487,Low,High,High,206332.0,206.33,383.51,0.384,767020.0,0.767
Office on Crescent Court,office,"Dallas County, Texas",Crescent Court,32.79343426443895,-96.80458218,22691.866668797866,14749.71,1370.2480589999998,440124.0,440.12,1205.8,33.5,22256,94907,63,130,0.3345,Low,High,High,147442.0,147.44,274.05,0.274,548100.0,0.548
Office on McKinney Avenue,office,"Dallas County, Texas",McKinney Avenue,32.802641414216055,-96.8008018,20968.49683525024,13629.52,1266.182408,406698.0,406.7,1114.2,30.9,26836,98144,52,134,0.4025,Low,High,High,136244.0,136.24,253.24,0.253,506480.0,0.506
Commercial on Cityplace West Boulevard,commercial,"Dallas County, Texas",Cityplace West Boulevard,32.80798482969958,-96.79546121,29494.966130551285,19171.73,1781.0537169999998,572074.0,572.07,1567.3,43.5,24938,100305,30,132,0.3752,Low,High,High,191645.0,191.64,356.21,0.356,712420.0,0.712
Commercial on Park Lane East,commercial,"Dallas County, Texas",Park Lane East,32.87015338497401,-96.76786456,61976.51883488439,40284.74,3742.452346,1202076.0,1202.08,3293.4,91.4,13766,68470,4,13,0.2126,Medium,High,Medium,402695.0,402.7,748.49,0.748,1496980.0,1.497
Commercial on West Northwest Highway,commercial,"Dallas County, Texas",West Northwest Highway,32.86424489,-96.77309666,22801.440979647985,14820.94,1376.865326,442249.0,442.25,1211.6,33.6,12927,68638,2,14,0.1954,Low,High,Low,148153.0,148.15,275.37,0.275,550740.0,0.551
Barnes & Noble,commercial,"Dallas County, Texas",West Northwest Highway,32.86421436791162,-96.77423196,22249.929444134505,14462.45,1343.561605,431552.0,431.55,1182.3,32.8,12155,68590,2,14,0.1838,Low,High,Low,144570.0,144.57,268.71,0.269,537420.0,0.537
The Container Store,commercial,"Dallas County, Texas",West Northwest Highway,32.86414741557313,-96.77361602,26318.717784011784,17107.17,1589.2560929999995,510469.0,510.47,1398.5,38.8,12604,68654,2,14,0.191,Low,High,Low,171007.0,171.01,317.85,0.318,635700.0,0.636
PetSmart,commercial,"Dallas County, Texas",Inwood Road,32.91305273557322,-96.81691733,26845.98653455414,17449.89,1621.0947809999998,520696.0,520.7,1426.6,39.6,4530,52294,0,40,0.0707,Low,Medium,Low,174433.0,174.43,324.22,0.324,648440.0,0.648
Retail on Webb Chapel Road,retail,"Dallas County, Texas",Webb Chapel Road,32.91091521190006,-96.87009372,51568.07654326876,33519.25,3113.938325,1000197.0,1000.2,2740.3,76.0,5022,36895,0,26,0.081,Medium,Medium,Low,335066.0,335.07,622.79,0.623,1245580.0,1.246
Burlington,retail,"Dallas County, Texas",Webb Chapel Road,32.910477034467455,-96.87005122,56049.22806003392,36432.0,3384.5328,1087112.0,1087.11,2978.4,82.7,5062,36906,0,26,0.0822,Medium,Medium,Low,364183.0,364.18,676.91,0.677,1353820.0,1.354
WinCo Foods,retail,"Dallas County, Texas",North Josey Lane,32.986741867698704,-96.88906887,83195.34808439514,54076.98,5023.751442,1613629.0,1613.63,4420.9,122.7,5741,56786,0,11,0.0955,Medium,Medium,Low,540566.0,540.57,1004.75,1.005,2009500.0,2.01
Office on Spectrum Drive,office,"Dallas County, Texas",Spectrum Drive,32.954786296371104,-96.82347322,111265.73028121328,72322.72,6718.780688,2158072.0,2158.07,5912.5,164.1,13964,64518,15,41,0.2215,Medium,High,High,722954.0,722.95,1343.76,1.344,2687520.0,2.688
Retail on Midway Road,retail,"Dallas County, Texas",Midway Road,32.92742825766757,-96.8383714,45351.66104896067,29478.58,2738.560082,879625.0,879.62,2409.9,66.9,4960,56651,10,42,0.0794,Medium,Medium,Medium,294674.0,294.67,547.71,0.548,1095420.0,1.095
Retail on Lyndon B Johnson Freeway,retail,"Dallas County, Texas",Lyndon B Johnson Freeway,32.927425571373234,-96.83683737,28906.47579521492,18789.21,1745.5176089999998,560660.0,560.66,1536.1,42.6,4805,56661,7,43,0.0751,Low,Medium,Medium,187821.0,187.82,349.1,0.349,698200.0,0.698
7-Eleven Store Support Center,office,"Dallas County, Texas",Hackberry Road,32.924700703668066,-96.98775167,108976.23845425616,70834.55,6580.529695,2113666.0,2113.67,5790.9,160.7,1501,27052,5,22,0.0354,Medium,Low,Medium,708078.0,708.08,1316.11,1.316,2632220.0,2.632
Office on Cypress Waters Boulevard,office,"Dallas County, Texas",Cypress Waters Boulevard,32.9289037661116,-96.98977216,63625.99555235182,41356.9,3842.05601,1234068.0,1234.07,3381.0,93.8,1526,26860,5,19,0.0304,Medium,Low,Medium,413413.0,413.41,768.41,0.768,1536820.0,1.537
Office on Saintsbury Street,office,"Dallas County, Texas",Saintsbury Street,32.929868855408145,-96.98845898,56915.79709192217,36995.27,3436.860583,1103920.0,1103.92,3024.4,83.9,1560,27730,5,19,0.0301,Medium,Low,Medium,369813.0,369.81,687.37,0.687,1374740.0,1.375
Office on Cypress Waters Boulevard,office,"Dallas County, Texas",Cypress Waters Boulevard,32.92837830849066,-96.98837205,59584.72313883958,38730.07,3598.023503,1155685.0,1155.68,3166.3,87.9,1529,27360,5,20,0.0299,Medium,Low,Medium,387154.0,387.15,719.6,0.72,1439200.0,1.439
Office on Water Mill Road,office,"Dallas County, Texas",Water Mill Road,32.93241590290861,-96.98979345,32470.31250623488,21105.7,1960.71953,629783.0,629.78,1725.4,47.9,1598,27756,4,19,0.0277,Low,Low,Medium,210977.0,210.98,392.14,0.392,784280.0,0.784
CoreLogic,office,"Dallas County, Texas",Hackberry Road,32.92651309194705,-96.98539461,82689.31458,53748.05,4993.193845,1603814.0,1603.81,4394.0,121.9,1514,28137,3,20,0.0325,Medium,Low,Medium,537278.0,537.28,998.64,0.999,1997280.0,1.997
Office on East John W Carpenter Freeway,office,"Dallas County, Texas",East John W Carpenter Freeway,32.867832197711635,-96.94086303,26609.705121453368,17296.31,1606.827199,516113.0,516.11,1414.0,39.2,7120,40403,13,37,0.1093,Low,Medium,High,172898.0,172.9,321.37,0.321,642740.0,0.643
Office on Luther Lane,office,"Dallas County, Texas",Luther Lane,32.864378311501525,-96.8100348,27226.76930655878,17697.4,1644.0884600000002,528081.0,528.08,1446.8,40.2,4054,54759,1,25,0.0637,Low,Medium,Low,176907.0,176.91,328.82,0.329,657640.0,0.658
Retail on Coneflower Drive,retail,"Dallas County, Texas",Coneflower Drive,32.951365368023886,-96.61386425,41053.89670710431,26685.03,2479.039287,796267.0,796.27,2181.6,60.5,3460,33987,0,6,0.0565,Low,Low,Low,266749.0,266.75,495.81,0.496,991620.0,0.992
Retail on North Town East Boulevard,retail,"Dallas County, Texas",North Town East Boulevard,32.80249080108783,-96.64789022,45453.87523432291,29545.02,2744.732358,881608.0,881.61,2415.4,67.0,5264,48688,0,8,0.0839,Medium,Medium,Low,295339.0,295.34,548.95,0.549,1097900.0,1.098
Retail on Gus Thomasson Road,retail,"Dallas County, Texas",Gus Thomasson Road,32.823650204355324,-96.64439366,69651.59017,45273.53,4205.910937,1350939.0,1350.94,3701.2,102.7,5915,50139,2,6,0.0965,Medium,Medium,Low,452565.0,452.56,841.18,0.841,1682360.0,1.682
Retail on Forrest Drive,retail,"Dallas County, Texas",Forrest Drive,32.82608745556369,-96.64733,54037.30656807341,35124.25,3263.042825,1048089.0,1048.09,2871.5,79.7,5725,51205,0,4,0.0918,Medium,Medium,Low,351110.0,351.11,652.61,0.653,1305220.0,1.305
Retail on Oates Drive,retail,"Dallas County, Texas",Oates Drive,32.8243945,-96.6460495,23350.453708848403,15177.79,1410.016691,452897.0,452.9,1240.8,34.4,5825,50647,0,4,0.0896,Low,Medium,Low,151720.0,151.72,282.0,0.282,564000.0,0.564
Retail on Lyndon B Johnson Freeway,retail,"Dallas County, Texas",Lyndon B Johnson Freeway,32.79581917,-96.62866967,121125.38143412228,78731.5,7314.156349999999,2349307.0,2349.31,6436.5,178.6,5520,40251,2,8,0.0968,Medium,Medium,Low,787018.0,787.02,1462.83,1.463,2925660.0,2.926
Retail on Gus Thomasson Road,retail,"Dallas County, Texas",Gus Thomasson Road,32.808624159501825,-96.63323992,36586.15073,23781.0,2209.2549,709613.0,709.61,1944.1,54.0,6376,43541,2,7,0.0994,Low,Medium,Low,237720.0,237.72,441.85,0.442,883700.0,0.884
Commercial on Lyndon B Johnson Freeway,commercial,"Dallas County, Texas",Lyndon B Johnson Freeway,32.80226977487903,-96.62815521,24749.891772185125,16087.43,1494.522247,480041.0,480.04,1315.2,36.5,6266,40546,2,9,0.0964,Low,Medium,Low,160814.0,160.81,298.9,0.299,597800.0,0.598
Commercial on North Mesquite Drive,commercial,"Dallas County, Texas",North Mesquite Drive,32.80380094668133,-96.62993359,23671.820732781263,15386.68,1429.422572,459131.0,459.13,1257.9,34.9,6422,41532,2,9,0.0986,Low,Medium,Low,153809.0,153.81,285.88,0.286,571760.0,0.572
Quick Lane at Town East Ford,commercial,"Dallas County, Texas",Lyndon B Johnson Freeway,32.805020372029794,-96.62913806,41295.27512840198,26841.93,2493.615297,800949.0,800.95,2194.4,60.9,6471,41302,2,9,0.1014,Low,Medium,Low,268318.0,268.32,498.72,0.499,997440.0,0.997
Retail on Gus Thomasson Road,retail,"Dallas County, Texas",Gus Thomasson Road,32.814608252907604,-96.63358468,35441.91860582465,23037.25,2140.160525,687420.0,687.42,1883.3,52.3,5952,44792,0,7,0.093,Low,Medium,Low,230286.0,230.29,428.03,0.428,856060.0,0.856
Warehouse on Gus Thomasson Road,warehouse,"Dallas County, Texas",Gus Thomasson Road,32.81523821608524,-96.63852814,20400.73666397084,13260.48,1231.898592,395686.0,395.69,1084.1,30.1,5839,46603,0,6,0.0895,Low,Medium,Low,132555.0,132.56,246.38,0.246,492760.0,0.493
Tower 909,office,"Dallas County, Texas",Lake Carolyn Parkway,32.869072381807975,-96.93526553,21895.659764626533,14232.18,1322.169522,424681.0,424.68,1163.5,32.3,6976,36999,11,38,0.1066,Low,Medium,Medium,142268.0,142.27,264.43,0.264,528860.0,0.529
Office on East John W Carpenter Freeway,office,"Dallas County, Texas",East John W Carpenter Freeway,32.860429427567915,-96.93474569,24106.09901810386,15668.96,1455.646384,467554.0,467.55,1281.0,35.6,6413,36946,10,32,0.0985,Low,Medium,Medium,156631.0,156.63,291.13,0.291,582260.0,0.582
Office on Las Colinas Boulevard East,office,"Dallas County, Texas",Las Colinas Boulevard East,32.86298507146325,-96.93419892,21782.12278739448,14158.38,1315.313502,422479.0,422.48,1157.5,32.1,6438,36641,10,34,0.0986,Low,Medium,Medium,141530.0,141.53,263.06,0.263,526120.0,0.526
Commercial on Hillcrest Street,commercial,"Dallas County, Texas",Hillcrest Street,32.78680899763982,-96.60734709,49756.052393180245,32341.43,3004.518847,965051.0,965.05,2644.0,73.4,6016,32752,2,6,0.0956,Medium,Medium,Low,323292.0,323.29,600.9,0.601,1201800.0,1.202
Retail on South Carrier Parkway,retail,"Dallas County, Texas",South Carrier Parkway,32.699345649866515,-97.01450855,21824.580772799425,14185.98,1317.877542,423302.0,423.3,1159.7,32.2,5261,36529,8,17,0.081,Low,Medium,Medium,141806.0,141.81,263.58,0.264,527160.0,0.527
Commercial on East Main Street,commercial,"Dallas County, Texas",East Main Street,32.75010833314192,-96.96406701,61001.65304694209,39651.07,3683.584403,1183167.0,1183.17,3241.6,90.0,1337,16452,1,7,0.0272,Medium,Low,Low,396361.0,396.36,736.72,0.737,1473440.0,1.473
Industrial on Pine Street,industrial,"Dallas County, Texas",Pine Street,32.75212555200665,-96.97714829,28976.45850437371,18834.7,1749.74363,562018.0,562.02,1539.8,42.7,2213,19984,1,10,0.0365,Low,Low,Low,188276.0,188.28,349.95,0.35,699900.0,0.7
Industrial on Northeast 22nd Street,industrial,"Dallas County, Texas",Northeast 22nd Street,32.75125875000001,-96.97544025,78879.63067528434,51271.76,4763.146504,1529923.0,1529.92,4191.6,116.3,2109,19484,0,11,0.0409,Medium,Low,Low,512524.0,512.52,952.63,0.953,1905260.0,1.905
Industrial on National Circle,industrial,"Dallas County, Texas",National Circle,32.75072715270211,-96.97617232,72260.64101447295,46969.42,4363.459118,1401543.0,1401.54,3839.8,106.6,2144,19698,1,10,0.0406,Medium,Low,Low,469517.0,469.52,872.69,0.873,1745380.0,1.745
Industrial on National Circle,industrial,"Dallas County, Texas",National Circle,32.74997237930686,-96.9766007,49475.25776124516,32158.92,2987.563668,959605.0,959.6,2629.1,73.0,2154,19846,1,11,0.038,Medium,Low,Low,321468.0,321.47,597.51,0.598,1195020.0,1.195
Retail on Marketplace Drive,retail,"Dallas County, Texas",Marketplace Drive,32.860147026419206,-96.64721056,55216.53088237055,35890.75,3334.250675,1070961.0,1070.96,2934.1,81.4,5896,47631,0,4,0.0945,Medium,Medium,Low,358772.0,358.77,666.85,0.667,1333700.0,1.334
